code	compartment	contamination	cont.comp	nem	col	ver	diversity_status	treatment	block	fw_aerial	dw_aerial	dw_root	biomass	RSR	height	branch	phe.b	phe.r	phe	phe.total	pah-rhd-gp.b	pah-rhd-gp.r	pah-rhd-gp.c	pah-rhd-gn.b	pah-rhd-gn.r	pah-rhd-gn.c	gn.copies.g.soil	gp.copies.g.soil	pot number
PHE_CEN_4_Bulk	bulk	phenanthrene	phe.bul	1	1	1	CEN	PHE_CEN	4	52.499	16.991	1.951	18.942	0.115	90	15	1.21	1.65	1.21	2.86	3495971	4882759		109919414	348045977		109919414	3495971	64
0_0_5_Bulk	bulk	control	con.bul	0	0	0	O	0_O	5	34.908	12.619	1.867	14.486	0.148	90	12	0	0	0	0.00	7703175	3946667		22476190	253333333		22476190	7703175	65
0_C_5_Bulk	bulk	control	con.bul	0	1	0	C	0_C	5	48.856	18.924	2.298	21.222	0.121	95	10	0	0	0	0.00	4085496	3363768		18076336	211884058		18076336	4085496	66
0_E_5_Bulk	bulk	control	con.bul	0	0	1	E	0_E	5	36.104	12.897	1.828	14.725	0.142	85	9	0	0	0	0.00	2819188	5376190		11086347	123714286		11086347	2819188	67
0_N_5_Bulk	bulk	control	con.bul	1	0	0	N	0_N	5	32.223	11.058	1.699	12.757	0.154	84	8	0	0	0	0.00	5595181	6639357		47662651	267148594		47662651	5595181	68
0_CE_5_Bulk	bulk	control	con.bul	0	1	1	CE	0_CE	5	37.721	12.641	1.936	14.577	0.153	90	10	0	0	0	0.00	3106719	12527757		19320158	489125475		19320158	3106719	69
0_CN_5_Bulk	bulk	control	con.bul	1	1	0	CN	0_CN	5	46.825	15.749	2.035	17.784	0.129	95	9	0	0	0	0.00	12807692	7493333		61138462	297833333		61138462	12807692	70
0_EN_5_Bulk	bulk	control	con.bul	1	0	1	EN	0_EN	5	39.99	14.153	2.165	16.318	0.153	107	7	0	0	0	0.00	11098868	15845418	14730769	38913208	545179283	42153846	38913208	11098868	71
0_CEN_5_Bulk	bulk	control	con.bul	1	1	1	CEN	0_CEN	5	32.304	9.806	1.272	11.078	0.130	90	10	0	0	0	0.00	10670866	3600000	10701158	57685039	215905512	68710425	57685039	10670866	72
PHE_0_5_Bulk	bulk	phenanthrene	phe.bul	0	0	0	O	PHE_O	5	26.695	9.506	2.086	11.592	0.219	73	6	1.73	1.23	1.73	2.96	12502811	4207171		4388755020	375298805		4388755020	12502811	73
PHE_C_5_Bulk	bulk	phenanthrene	phe.bul	0	1	0	C	PHE_C	5	32.539	11.147	1.698	12.845	0.152	98	7	1.19	1.44	1.19	2.63	14593651	9635060		49507937	427888446		49507937	14593651	74
PHE_E_5_Bulk	bulk	phenanthrene	phe.bul	0	0	1	E	PHE_E	5	33.884	11.557	1.29	12.847	0.112	90	8	1.37	1.63	1.37	3.00	40882129	8445926		150676806	718814815		150676806	40882129	75
PHE_N_5_Bulk	bulk	phenanthrene	phe.bul	1	0	0	N	PHE_N	5	11.053	4.188	1.515	5.703	0.362	76	10	1.34	2.20	1.34	3.54	52575540	5416000		154820144	449440000		154820144	52575540	76
PHE_CE_5_Bulk	bulk	phenanthrene	phe.bul	0	1	1	CE	PHE_CE	5	39.305	13.528	1.96	15.488	0.145	89	7	1.53	1.08	1.53	2.61	58728682	6703077	33786561	94868217	203230769	109596838	94868217	58728682	77
PHE_CN_5_Bulk	bulk	phenanthrene	phe.bul	1	1	0	CN	PHE_CN	5	25.543	9.568	1.438	11.006	0.150	75	7	1.47	1.53	1.47	3.00	22208955	8277778		54552239	1072063492		54552239	22208955	78
PHE_EN_5_Bulk	bulk	phenanthrene	phe.bul	1	0	1	EN	PHE_EN	5	38.847	12.293	1.207	13.5	0.098	93	10	1.81	3.99	1.81	5.80	20330709	8824096	8323137	56692913	183453815		56692913	20330709	79
PHE_CEN_5_Bulk	bulk	phenanthrene	phe.bul	1	1	1	CEN	PHE_CEN	5	65.361	21.045	1.299	22.344	0.062	99	9	1.31	1.69	1.31	3.00	36960000	14747200		47648000	407680000		47648000	36960000	80
0_0_6_Bulk	bulk	control	con.bul	0	0	0	O	0_O	6	54.075	20.953	3.871	24.824	0.185	102	12	0	0	0	0.00	29968254	11680000		47111111	504754717		47111111	29968254	81
0_C_6_Bulk	bulk	control	con.bul	0	1	0	C	0_C	6	45.937	16.614	3.13	19.744	0.188	99	10	0	0	0	0.00	16988417	12889231		56725869	296000000		56725869	16988417	82
0_E_6_Bulk	bulk	control	con.bul	0	0	1	E	0_E	6	38.692	11.733	1.617	13.35	0.138	85	12	0	0	0	0.00	4807463	9771642		36820896	314029851	5196923	36820896	4807463	83
0_N_6_Bulk	bulk	control	con.bul	1	0	0	N	0_N	6	46.108	16.667	2.292	18.959	0.138	92	8	0	0	0	0.00	18046154	13066129		103753846	224193548		103753846	18046154	84
0_CE_6_Bulk	bulk	control	con.bul	0	1	1	CE	0_CE	6	60.793	23.34	4.326	27.666	0.185	94	9	0	0	0	0.00	2324800	3043939		22304000	219393939		22304000	2324800	85
0_CN_6_Bulk	bulk	control	con.bul	1	1	0	CN	0_CN	6	45.355	16.849	3.332	20.181	0.198	100	8	0	0	0	0.00	2096063	5463035		28614173	297431907		28614173	2096063	86
0_EN_6_Bulk	bulk	control	con.bul	1	0	1	EN	0_EN	6	63.366	23.764	2.146	25.91	0.090	116	8	0	0	0	0.00	17416342	13045783		66412451	453654618		66412451	17416342	87
0_CEN_6_Bulk	bulk	control	con.bul	1	1	1	CEN	0_CEN	6	83.345	29.247	3.172	32.419	0.108	115	13	0	0	0	0.00	14541365	4200000		68497992	374603175		68497992	14541365	88
PHE_0_6_Bulk	bulk	phenanthrene	phe.bul	0	0	0	O	PHE_O	6	23.207	7.959	1.948	9.907	0.245	73	5	1.37	1.76	1.37	3.12	18593750	21669291		101609375	558267717		101609375	18593750	89
PHE_C_6_Bulk	bulk	phenanthrene	phe.bul	0	1	0	C	PHE_C	6	34.14	11.471	1.193	12.664	0.104	84	7	1.38	2.17	1.38	3.54	8923077	10334661		63246154	484621514		63246154	8923077	90
PHE_E_6_Bulk	bulk	phenanthrene	phe.bul	0	0	1	E	PHE_E	6	48.234	17.308	2.596	19.904	0.150	95	12	1.36	1.97	1.36	3.33	48752000	7066148		81264000	542879377	8614449	81264000	48752000	91
PHE_N_6_Bulk	bulk	phenanthrene	phe.bul	1	0	0	N	PHE_N	6	54.711	18.412	3.025	21.437	0.164	98	8	1.57	1.30	1.57	2.87	12646400	19468750		88576000	542812500		88576000	12646400	92
PHE_CE_6_Bulk	bulk	phenanthrene	phe.bul	0	1	1	CE	PHE_CE	6	43.3	14.178	2.167	16.345	0.153	102	9	1.74	1.35	1.74	3.09	25265625	19079245		74171875	621132075		74171875	25265625	93
PHE_CN_6_Bulk	bulk	phenanthrene	phe.bul	1	1	0	CN	PHE_CN	6	26.381	8.545	1.028	9.573	0.120	90	7	1.30	2.57	1.30	3.87	4933333	7794796		139969349	1565799257		139969349	4933333	94
PHE_EN_6_Bulk	bulk	phenanthrene	phe.bul	1	0	1	EN	PHE_EN	6	27.039	9.466	1.171	10.637	0.124	80	5	1.24	2.10	1.24	3.34	9784252	14712121		57385827	595151515		57385827	9784252	95
PHE_CEN_6_Bulk	bulk	phenanthrene	phe.bul	1	1	1	CEN	PHE_CEN	6	47.509	16.353	1.741	18.094	0.106	94	10	1.32	1.37	1.32	2.69	692749	13356175	12965779	48956175	533545817	29916350	48956175	692749	96
0_CE_1_Cast	cast	control	con.cas	0	1	1	CE	0_CE	1	28.418	8.354	1.415	9.769	0.169	101	4	0	0		0.00	5839683	4321600	19940741	64888889	35760000	141985185	141985185	19940741	5
0_EN_1_Cast	cast	control	con.cas	1	0	1	EN	0_EN	1	60.43	18.583	2.026	20.609	0.109	100	19	0	0		0.00	1289960		6863396	14054618	1719048	123788679	123788679	6863396	7
0_CEN_1_Cast	cast	control	con.cas	1	1	1	CEN	0_CEN	1	55.032	16.75	1.636	18.386	0.098	95	11	0	0		0.00	4395219	5015504	31833962	36446215	5682171	110535849	110535849	31833962	8
PHE_E_1_Cast	cast	phenanthrene	phe.cas	0	0	1	E	PHE_E	1	40.7	12.229	1.628	13.857	0.133	94	8	12.27	1.40		13.67	13928405	8056225	2027200	569182879	497028112	102608000	102608000	2027200	11
PHE_CE_1_Cast	cast	phenanthrene	phe.cas	0	1	1	CE	PHE_CE	1	46.375	14.484	2.27	16.754	0.157	94	9	1.44	1.85		3.29	26891566	13423810	58776	132819277	732380952	15388060	15388060	58776	13
PHE_EN_1_Cast	cast	phenanthrene	phe.cas	1	0	1	EN	PHE_EN	1	47.19	15.96	1.221	17.181	0.077	94	8	1.82	1.70		3.52	14698795	7003175	1467865	97188755	1189365079	18486891	18486891	1467865	15
0_CE_2_Cast	cast	control	con.cas	0	1	1	CE	0_CE	2	44	13.038	1.668	14.706	0.128	93.5	8	0	0		0.00	9750400	1458308	5243774	47728000	150307692	45600000	45600000	5243774	21
PHE_E_2_Cast	cast	phenanthrene	phe.cas	0	0	1	E	PHE_E	2	43.055	12.97	1.141	14.111	0.088	80.5	7	1.32	1.34		2.66	8617899	17515625	16325926	71066148	602968750	102355556	102355556	16325926	27
PHE_CE_2_Cast	cast	phenanthrene	phe.cas	0	1	1	CE	PHE_CE	2	32	9.329	1.036	10.365	0.111	76	7	1.76	1.26		3.02	21284133	5601465	7677220	96457565	488791209	75166023	75166023	7677220	29
PHE_EN_2_Cast	cast	phenanthrene	phe.cas	1	0	1	EN	PHE_EN	2	40.52	11.715	1.278	12.993	0.109	93	8	1.26	1.69		2.95	1787302	11986957	12569742	145603175	853188406	44693727	44693727	12569742	31
